Vuosineljannes,Alue,Huoneluku,Rahoitusmuoto,Indeksi,Vuokra_per_nelio
2016Q4,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,102.1,15.68
2016Q4,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,101.4,14.45
2016Q4,Vantaa,Yksiot,Vapaarahoitteinen,102.8,19.6
2016Q4,Vantaa,Kaksiot,Vapaarahoitteinen,102.5,15.55
2016Q4,Vantaa,Kolmiot+,Vapaarahoitteinen,102.5,14.6
2017Q1,Helsinki,Yksiot,Vapaarahoitteinen,102.8,24.07
2017Q1,Helsinki,Kaksiot,Vapaarahoitteinen,102.7,17.14
2017Q1,Helsinki,Kolmiot+,Vapaarahoitteinen,103.4,16.04
2017Q1,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,103.5,20.85
2017Q1,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,102.5,15.93
2017Q1,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,102.1,14.74
2017Q1,Vantaa,Yksiot,Vapaarahoitteinen,104.3,20.0
2017Q1,Vantaa,Kaksiot,Vapaarahoitteinen,103.9,15.76
2017Q1,Vantaa,Kolmiot+,Vapaarahoitteinen,103.7,14.75
2017Q2,Helsinki,Yksiot,Vapaarahoitteinen,102.9,24.08
2017Q2,Helsinki,Kaksiot,Vapaarahoitteinen,102.8,17.3
2017Q2,Helsinki,Kolmiot+,Vapaarahoitteinen,103.5,16.17
2017Q2,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,103.7,20.96
2017Q2,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,102.5,16.07
2017Q2,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,102.5,14.78
2017Q2,Vantaa,Yksiot,Vapaarahoitteinen,104.5,20.06
2017Q2,Vantaa,Kaksiot,Vapaarahoitteinen,103.9,15.96
2017Q2,Vantaa,Kolmiot+,Vapaarahoitteinen,103.8,14.78
2017Q3,Helsinki,Yksiot,Vapaarahoitteinen,103.3,24.45
2017Q3,Helsinki,Kaksiot,Vapaarahoitteinen,102.8,18.63
2017Q3,Helsinki,Kolmiot+,Vapaarahoitteinen,103.6,17.0
2017Q3,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,103.8,21.07
2017Q3,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,102.5,16.8
2017Q3,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,102.2,15.14
2017Q3,Vantaa,Yksiot,Vapaarahoitteinen,104.6,20.17
2017Q3,Vantaa,Kaksiot,Vapaarahoitteinen,103.9,16.38
2017Q3,Vantaa,Kolmiot+,Vapaarahoitteinen,103.8,14.98
2017Q4,Helsinki,Yksiot,Vapaarahoitteinen,103.6,24.55
